LAKE,Date,Date2,Replicate,LIGHT_O2_ppm,DARK_O2_ppm,LIGHT_Pois_O2_ppm,DARK_Pois_O2_ppm,NetOxy_ppm,RespOxy_ppm,Net_mgC_m3_h,Resp_mgC_m3_H,LightAzidemgCm3h,DarkAzidemgCm3h
WC,12-Jul-04,2004-07-12,2,8.14,8.29,8.24,8.12,-0.77,-0.62,-9.44,-7.60,-8.21,-9.68
WC,12-Jul-04,2004-07-12,3,8.27,8.38,8.13,8.4,-0.64,-0.53,-7.84,-6.50,-9.56,-6.25
WC,27-Jul-04,2004-07-27,1,8.28,8.15,8.1,8.28,0.21,0.08,2.44,0.93,0.35,2.44
WC,27-Jul-04,2004-07-27,2,8.38,8.12,8.17,8.37,0.31,0.05,3.60,0.58,1.16,3.48
WC,27-Jul-04,2004-07-27,3,8.45,8.24,8.36,8.38,0.38,0.17,4.41,1.97,3.37,3.60
WC,09-Aug-04,2004-08-09,1,7.9,7.72,7.8,7.9,1.19,1.01,12.46,10.58,11.42,12.46
WC,09-Aug-04,2004-08-09,2,7.84,7.31,7.87,7.86,1.13,0.60,11.84,6.28,12.15,12.05
WC,09-Aug-04,2004-08-09,3,7.87,7.78,7.6,7.78,1.16,1.07,12.15,11.21,9.32,11.21
WC,02-May-05,2005-05-02,1,11.13,9.31,6.43,7.91,1.27,-0.55,16.82,-7.28,-45.42,-25.82
WC,02-May-05,2005-05-02,2,11.05,8.47,8.3,8.08,1.19,-1.39,15.76,-18.41,-20.66,-23.57
WC,02-May-05,2005-05-02,3,10.56,8.28,8.04,7.45,0.70,-1.58,9.27,-20.92,-24.10,-31.92
WC,16-May-05,2005-05-16,1,9.75,8.52,8.45,7.54,4.48,3.25,52.67,38.21,37.39,26.69
WC,16-May-05,2005-05-16,2,9.41,8.7,7.85,8.28,4.14,3.43,48.67,40.33,30.33,35.39
WC,16-May-05,2005-05-16,3,9.5,8.56,8.52,8.15,4.23,3.29,49.73,38.68,38.21,33.86
WC,27-May-05,2005-05-27,1,10.18,9.1,9.19,9.08,1.62,0.54,19.05,6.35,7.41,6.11
WC,27-May-05,2005-05-27,2,10.15,9.88,9.23,8.88,1.59,1.32,18.69,15.52,7.88,3.76
WC,27-May-05,2005-05-27,3,10.34,8.88,9.11,8.89,1.78,0.32,20.93,3.76,6.47,3.88
WC,13-Jun-05,2005-06-13,1,12.23,11.1,11.45,10.05,4.78,3.65,57.37,43.81,48.01,31.20
WC,13-Jun-05,2005-06-13,2,11.1,10.08,12.52,10.21,3.65,2.63,43.81,31.56,60.85,33.13
WC,13-Jun-05,2005-06-13,3,11.67,11.09,11.35,9.68,4.22,3.64,50.65,43.69,46.81,26.76
WC,27-Jun-05,2005-06-27,1,7.8,6.82,6.46,5.9,0.72,-0.26,8.64,-3.12,-7.44,-14.16
WC,27-Jun-05,2005-06-27,2,7.3,6.96,6.5,6.18,0.22,-0.12,2.64,-1.44,-6.96,-10.80
WC,27-Jun-05,2005-06-27,3,7.62,6.69,6.75,6.39,0.54,-0.39,6.48,-4.68,-3.96,-8.28
WC,11-Jul-05,2005-07-11,1,9.34,6.93,7.61,6.83,1.44,-0.97,17.46,-11.76,-3.52,-12.98
WC,11-Jul-05,2005-07-11,2,9.92,6.74,7.81,6.94,2.02,-1.16,24.50,-14.07,-1.09,-11.64
WC,11-Jul-05,2005-07-11,3,9.62,6.49,7.71,6.77,1.72,-1.41,20.86,-17.10,-2.30,-13.70
WC,26-Jul-05,2005-07-26,1,8.27,7.43,8.49,7.69,0.29,-0.55,3.31,-6.27,5.82,-3.31
WC,26-Jul-05,2005-07-26,2,8.64,7.42,7.99,7.66,0.66,-0.56,7.53,-6.39,0.11,-3.65
WC,26-Jul-05,2005-07-26,3,8.7,7.39,8.31,7.78,0.72,-0.59,8.21,-6.73,3.76,-2.28
WC,05-Aug-05,2005-08-05,1,10.52,8.39,9.08,8.44,2.51,0.38,29.81,4.51,12.71,5.11
WC,05-Aug-05,2005-08-05,2,11.58,8.4,9.14,8.56,3.57,0.39,42.40,4.63,13.42,6.53
WC,05-Aug-05,2005-08-05,3,11.22,8.64,9.28,8.47,3.21,0.63,38.13,7.48,15.09,5.46
WC,01-May-06,2006-05-01,1,12.76,12.48,12.45,13.34,-3.65,-3.93,-43.81,-47.17,-47.53,-36.85
WC,01-May-06,2006-05-01,2,13.32,11.83,13.31,13.42,-3.09,-4.58,-37.09,-54.97,-37.21,-35.89
WC,01-May-06,2006-05-01,3,13.95,11.93,13.29,13.49,-2.46,-4.48,-29.52,-53.77,-37.45,-35.05
WC,15-May-06,2006-05-15,1,10.55,10.07,9.38,9.19,1.48,1.00,15.79,10.67,3.31,1.28
WC,15-May-06,2006-05-15,2,10.63,8.99,9.26,9.23,1.56,-0.08,16.64,-0.85,2.03,1.71
WC,15-May-06,2006-05-15,3,10.61,10.15,9.4,9.23,1.54,1.08,16.43,11.52,3.52,1.71
WC,29-May-06,2006-05-29,1,10.4,9.83,9.32,8.74,2.78,2.21,33.37,26.52,20.40,13.44
WC,29-May-06,2006-05-29,2,10.3,8.97,9.41,8.82,2.68,1.35,32.16,16.20,21.48,14.40
WC,29-May-06,2006-05-29,3,10.34,8.76,9.14,8.94,2.72,1.14,32.64,13.68,18.24,15.84
WC,09-Jun-06,2006-06-09,1,10.33,9.08,9.22,8.85,2.35,1.10,27.08,12.67,14.29,10.02
WC,09-Jun-06,2006-06-09,2,10.37,8.76,9.28,8.73,2.39,0.78,27.54,8.99,14.98,8.64
WC,09-Jun-06,2006-06-09,3,10.28,8.88,9.28,9.07,2.30,0.90,26.50,10.37,14.98,12.56
WC,26-Jun-06,2006-06-26,1,9.84,7.78,8.91,7.43,2.23,0.17,25.95,1.98,15.13,-2.09
WC,26-Jun-06,2006-06-26,2,10.12,7.85,9.04,8.05,2.51,0.24,29.21,2.79,16.64,5.12
WC,26-Jun-06,2006-06-26,3,9.6,7.99,9.2,7.94,1.99,0.38,23.16,4.42,18.50,3.84
WC,10-Jul-06,2006-07-10,1,10.06,6.65,7.54,6.13,2.25,-1.16,25.92,-13.37,-3.11,-19.36
WC,10-Jul-06,2006-07-10,2,9.97,6.44,7.49,6.07,2.16,-1.37,24.89,-15.78,-3.69,-20.05
WC,10-Jul-06,2006-07-10,3,9.99,6.7,7.61,6.25,2.18,-1.11,25.12,-12.79,-2.30,-17.97
WC,25-Jul-06,2006-07-25,1,13.11,10.42,13.41,11.01,3.59,0.90,37.60,9.43,40.75,15.61
WC,25-Jul-06,2006-07-25,2,13.19,10.37,13.27,10.35,3.67,0.85,38.44,8.90,39.28,8.69
WC,25-Jul-06,2006-07-25,3,13.63,10.84,13.33,11.03,4.11,1.32,43.05,13.83,39.91,15.82
WC,08-Aug-06,2006-08-08,1,4.76,3.75,4.19,3.84,-1.80,-2.81,-11.92,-18.61,-15.69,-18.01
WC,08-Aug-06,2006-08-08,2,4.54,3.86,4.29,3.98,-2.02,-2.70,-13.38,-17.88,-15.03,-17.08
WC,08-Aug-06,2006-08-08,3,4.77,3.88,4.25,3.94,-1.79,-2.68,-11.85,-17.75,-15.30,-17.35
WC,21-Aug-06,2006-08-21,1,11.62,8.2,9.16,7.71,3.71,0.29,43.62,3.41,14.70,-2.35
WC,21-Aug-06,2006-08-21,2,11.44,8.69,9.51,7.73,3.53,0.78,41.50,9.17,18.81,-2.12
WC,21-Aug-06,2006-08-21,3,11.61,7.93,9.96,7.56,3.70,0.02,43.50,0.24,24.10,-4.11
WC,01-May-07,2007-05-01,1,,15.47,15.73,11.49,,3.79,,46.45,49.64,-2.33
WC,01-May-07,2007-05-01,2,,14.54,15.26,11.82,,2.86,,35.06,43.88,1.72
WC,01-May-07,2007-05-01,3,,14.8,15.3,12.32,,3.12,,38.24,44.37,7.84
WC,14-May-07,2007-05-14,1,10.06,8.94,8.79,8.65,3.30,2.18,38.80,25.63,23.87,22.22
WC,14-May-07,2007-05-14,2,9.94,8.83,9.13,8.71,3.18,2.07,37.39,24.34,27.86,22.93
WC,14-May-07,2007-05-14,3,9.9,8.76,9.03,8.79,3.14,2.00,36.92,23.51,26.69,23.87
WC,28-May-07,2007-05-28,1,11.79,9.1,10.04,8.94,3.07,0.38,35.37,4.38,15.21,2.53
WC,28-May-07,2007-05-28,2,11.48,9.33,10.11,9.3,2.76,0.61,31.80,7.03,16.02,6.68
WC,28-May-07,2007-05-28,3,11.84,9.05,9.9,9.21,3.12,0.33,35.95,3.80,13.60,5.65
WC,11-Jun-07,2007-06-11,1,10.99,8.46,9.38,8.58,3.17,0.64,36.89,7.45,18.16,8.84
WC,11-Jun-07,2007-06-11,2,11.06,8.6,9.43,8.66,3.24,0.78,37.71,9.08,18.74,9.78
WC,11-Jun-07,2007-06-11,3,11.09,8.66,9.36,8.72,3.27,0.84,38.06,9.78,17.92,10.47
WC,25-Jun-07,2007-06-25,1,11.17,8.56,10.53,8.51,2.60,-0.01,30.57,-0.12,23.04,-0.71
WC,25-Jun-07,2007-06-25,2,12.18,8.45,10.44,8.69,3.61,-0.12,42.44,-1.41,21.99,1.41
WC,25-Jun-07,2007-06-25,3,12.8,8.2,11.33,8.43,4.23,-0.37,49.73,-4.35,32.45,-1.65
WC,09-Jul-07,2007-07-09,1,17.13,9.32,14.51,8.78,17.05,9.24,204.60,110.86,173.15,104.38
WC,09-Jul-07,2007-07-09,2,17.05,10.25,14.24,10.78,16.97,10.17,203.64,122.02,169.91,128.39
WC,09-Jul-07,2007-07-09,3,18.34,9.96,14.19,10.7,18.26,9.88,219.12,118.54,169.31,127.43
WC,23-Jul-07,2007-07-23,1,12.27,7.65,11.35,8.06,7.42,2.80,79.16,29.87,69.34,34.25
WC,23-Jul-07,2007-07-23,2,12.28,7.76,11.26,8.15,7.43,2.91,79.27,31.04,68.38,35.21
WC,23-Jul-07,2007-07-23,3,12.35,7.65,11.22,8.2,7.50,2.80,80.01,29.87,67.96,35.74
WC,07-Aug-07,2007-08-07,1,9.62,5.57,7.24,5.46,,,,,,
WC,07-Aug-07,2007-08-07,2,9.79,5.19,6.88,5.89,,,,,,
WC,07-Aug-07,2007-08-07,3,9.75,5.5,6.65,5.34,,,,,,
WC,20-Aug-07,2007-08-20,1,16.17,6.5,9.87,6.83,8.82,-0.85,97.71,-9.42,27.92,-5.76
WC,20-Aug-07,2007-08-20,2,15.61,7.07,9.35,6.43,8.26,-0.28,91.51,-3.10,22.16,-10.19
WC,20-Aug-07,2007-08-20,3,16.73,7.33,9.27,7.65,9.38,-0.02,103.92,-0.22,21.27,3.32
WC,05-May-08,2008-05-05,1,10.2,7.9,9,9.9,2.87,0.57,34.09,6.77,19.84,30.53
WC,05-May-08,2008-05-05,2,10.74,7.62,10.52,9.04,3.41,0.29,40.50,3.44,37.89,20.31
WC,05-May-08,2008-05-05,3,10.75,6.65,9.2,8.88,3.42,-0.68,40.62,-8.08,22.21,18.41
WC,20-May-08,2008-05-20,1,8.86,8.76,8.7,8.41,0.33,0.23,4.08,2.84,2.10,-1.48
WC,20-May-08,2008-05-20,2,8.88,8.65,8.64,8.53,0.35,0.12,4.33,1.48,1.36,0.00
WC,20-May-08,2008-05-20,3,8.78,8.15,8.71,8.47,0.25,-0.38,3.09,-4.70,2.23,-0.74
WC,02-Jun-08,2008-06-02,1,10.72,9.84,10.75,9.64,0.34,-0.54,3.92,-6.22,4.26,-8.53
WC,02-Jun-08,2008-06-02,2,11.02,9.92,10.91,9.72,0.64,-0.46,7.37,-5.30,6.11,-7.60
WC,02-Jun-08,2008-06-02,3,11.02,9.96,10.68,9.89,0.64,-0.42,7.37,-4.84,3.46,-5.65
WC,16-Jun-08,2008-06-16,1,10.85,8.34,9.52,8.15,2.39,-0.12,28.68,-1.44,12.72,-3.72
WC,16-Jun-08,2008-06-16,2,11.27,8.24,9.3,8.84,2.81,-0.22,33.73,-2.64,10.08,4.56
WC,16-Jun-08,2008-06-16,3,11.24,8.48,9.71,8.39,2.78,0.02,33.37,0.24,15.00,-0.84
WC,30-Jun-08,2008-06-30,1,14.04,9.67,14.05,9.58,3.09,-1.28,37.09,-15.36,37.21,-16.44
WC,30-Jun-08,2008-06-30,2,15.47,10.4,11.96,9.15,4.52,-0.55,54.25,-6.60,12.12,-21.60
WC,30-Jun-08,2008-06-30,3,14.08,8.93,11.14,9.14,3.13,-2.02,37.57,-24.24,2.28,-21.72
WC,14-Jul-08,2008-07-14,1,16.01,11.12,14.92,12.02,8.57,3.68,97.76,41.98,85.33,52.25
WC,14-Jul-08,2008-07-14,2,16.19,10.72,15.14,11.95,8.75,3.28,99.82,37.42,87.84,51.45
WC,14-Jul-08,2008-07-14,3,19.18,11.62,14.09,11.93,11.74,4.18,133.93,47.68,75.86,51.22
WC,28-Jul-08,2008-07-28,1,12.15,5.81,8.91,6.83,5.95,-0.39,65.92,-4.32,30.02,6.98
WC,28-Jul-08,2008-07-28,2,12.16,6.14,9.3,6.56,5.96,-0.06,66.03,-0.66,34.34,3.99
WC,28-Jul-08,2008-07-28,3,12.19,6.2,8.91,6.88,5.99,0.00,66.36,0.00,30.02,7.53
WC,11-Aug-08,2008-08-11,1,9.47,5.17,7.52,5.74,3.74,-0.56,42.66,-6.39,20.42,0.11
WC,11-Aug-08,2008-08-11,2,9.4,5.5,7.58,5.76,3.67,-0.23,41.87,-2.62,21.10,0.34
WC,11-Aug-08,2008-08-11,3,9.39,5.18,7.54,5.53,3.66,-0.55,41.75,-6.27,20.65,-2.28
WC,25-Aug-08,2008-08-25,1,16.14,6.58,10.32,6.6,7.84,-1.72,94.09,-20.64,24.24,-20.40
WC,25-Aug-08,2008-08-25,2,13.44,6.41,9.72,7,5.14,-1.89,61.69,-22.68,17.04,-15.60
WC,25-Aug-08,2008-08-25,3,12.69,6.76,10.6,6.66,4.39,-1.54,52.69,-18.48,27.60,-19.68
WC,04-May-09,2009-05-04,1,10.47,12.06,7.67,7.66,1.34,2.93,16.08,35.17,-17.52,-17.64
WC,04-May-09,2009-05-04,2,10.73,7.16,7.84,7.41,1.60,-1.97,19.20,-23.64,-15.48,-20.64
WC,04-May-09,2009-05-04,3,10.05,8.22,8.22,7.87,0.92,-0.91,11.04,-10.92,-10.92,-15.12
WC,19-May-09,2009-05-19,1,10.45,8.26,8.64,8.3,1.87,-0.32,22.44,-3.84,0.72,-3.36
WC,19-May-09,2009-05-19,2,10.8,8.34,8.69,8.24,2.22,-0.24,26.64,-2.88,1.32,-4.08
WC,19-May-09,2009-05-19,3,11.01,8.39,9.04,8.38,2.43,-0.19,29.16,-2.28,5.52,-2.40
WC,01-Jun-09,2009-06-01,1,8.18,6.71,6.77,6.63,1.47,0.00,17.42,0.00,0.71,-0.95
WC,01-Jun-09,2009-06-01,2,8.64,6.96,6.54,6.94,1.93,0.25,22.88,2.96,-2.02,2.73
WC,01-Jun-09,2009-06-01,3,8.18,6.74,6.52,6.41,1.47,0.03,17.42,0.36,-2.25,-3.56
WC,15-Jun-09,2009-06-15,1,9.85,7.6,7.82,7.71,1.85,-0.40,21.79,-4.71,-2.12,-3.42
WC,15-Jun-09,2009-06-15,2,9.86,7.29,7.75,7.54,1.86,-0.71,21.91,-8.36,-2.95,-5.42
WC,15-Jun-09,2009-06-15,3,10.6,7.57,7.93,7.24,2.60,-0.43,30.63,-5.07,-0.82,-8.95
WC,29-Jun-09,2009-06-29,1,10.1,7.65,7.43,7.63,2.56,0.11,29.50,1.27,-1.27,1.04
WC,29-Jun-09,2009-06-29,2,10.27,7.94,7.41,7.72,2.73,0.40,31.45,4.61,-1.50,2.07
WC,29-Jun-09,2009-06-29,3,9.62,7.7,7.7,7.52,2.08,0.16,23.97,1.84,1.84,-0.23
WC,13-Jul-09,2009-07-13,1,12.19,9.11,9.21,8.73,4.08,1.00,50.44,12.36,13.60,7.66
WC,13-Jul-09,2009-07-13,2,11.92,8.77,9.15,8.86,3.81,0.66,47.10,8.16,12.86,9.27
WC,13-Jul-09,2009-07-13,3,12.18,8.91,9.43,8.63,4.07,0.80,50.31,9.89,16.32,6.43
WC,27-Jul-09,2009-07-27,1,9.07,8.08,8.49,8.16,3.24,2.25,38.89,27.00,31.92,27.96
WC,27-Jul-09,2009-07-27,2,9.19,8.01,8.46,8.25,3.36,2.18,40.33,26.16,31.56,29.04
WC,27-Jul-09,2009-07-27,3,9.34,7.85,8.33,8.24,3.51,2.02,42.13,24.24,30.00,28.92
WC,10-Aug-09,2009-08-10,1,10.7,8.15,9.66,8.09,2.68,0.13,27.57,1.34,16.87,0.72
WC,10-Aug-09,2009-08-10,2,10.57,8.4,9.72,8.32,2.55,0.38,26.23,3.91,17.49,3.09
WC,10-Aug-09,2009-08-10,3,10.96,8.39,9.77,8.41,2.94,0.37,30.24,3.81,18.00,4.01
WC,24-Aug-09,2009-08-24,1,9.61,7.54,9.05,7.44,2.86,0.79,29.42,8.13,23.66,7.10
WC,24-Aug-09,2009-08-24,2,9.86,7.32,8.98,7.15,3.11,0.57,31.99,5.86,22.94,4.11
WC,24-Aug-09,2009-08-24,3,9.87,7.31,9.06,7.47,3.12,0.56,32.10,5.76,23.76,7.41
WC,03-May-10,2010-05-03,1,10.65,7.88,8.34,7.82,-9.33,-12.10,-116.85,-151.54,-145.78,-152.29
WC,03-May-10,2010-05-03,2,10.65,7.73,8.22,7.81,-9.33,-12.25,-116.85,-153.41,-147.28,-152.41
WC,03-May-10,2010-05-03,3,10.7,7.9,8.31,7.87,-9.28,-12.08,-116.22,-151.29,-146.15,-151.66
WC,17-May-10,2010-05-17,1,12.45,10.35,11.34,10.83,5.07,2.97,59.61,34.92,46.56,40.56
WC,17-May-10,2010-05-17,2,11.96,11.07,11.52,10.82,4.58,3.69,53.85,43.38,48.67,40.44
WC,17-May-10,2010-05-17,3,13.13,10.58,11.51,10.8,5.75,3.20,67.60,37.62,48.56,40.21
WC,31-May-10,2010-05-31,1,10.51,8.14,8.41,8.12,2.43,0.06,28.57,0.71,3.88,0.47
WC,31-May-10,2010-05-31,2,10.55,8.31,8.46,8.19,2.47,0.23,29.04,2.70,4.47,1.29
WC,31-May-10,2010-05-31,3,10.44,8.1,8.55,8.11,2.36,0.02,27.75,0.24,5.53,0.35
WC,14-Jun-10,2010-06-14,1,11.04,9.03,9.61,9.06,2.31,0.30,27.16,3.53,10.35,3.88
WC,14-Jun-10,2010-06-14,2,11.27,9.09,9.93,9.13,2.54,0.36,29.86,4.23,14.11,4.70
WC,14-Jun-10,2010-06-14,3,11.12,9.02,9.91,9.12,2.39,0.29,28.10,3.41,13.87,4.59
WC,28-Jun-10,2010-06-28,1,9.06,7.61,7.64,7.27,1.30,-0.15,14.68,-1.69,-1.36,-5.53
WC,28-Jun-10,2010-06-28,2,9.29,7.59,7.71,7.18,1.53,-0.17,17.28,-1.92,-0.56,-6.55
WC,28-Jun-10,2010-06-28,3,9.18,7.57,7.51,7.09,1.42,-0.19,16.04,-2.15,-2.82,-7.57
WC,12-Jul-10,2010-07-12,1,8.35,6.61,6.55,6.34,2.00,0.26,22.59,2.94,2.26,-0.11
WC,12-Jul-10,2010-07-12,2,8.06,6.95,7.35,6.71,1.71,0.60,19.32,6.78,11.30,4.07
WC,12-Jul-10,2010-07-12,3,8.28,6.65,7.11,6.83,1.93,0.30,21.80,3.39,8.58,5.42
WC,26-Jul-10,2010-07-26,1,6.53,5.9,6.16,6.23,0.88,0.25,9.75,2.77,5.65,6.43
WC,26-Jul-10,2010-07-26,2,6.55,6,6.22,6.4,0.90,0.35,9.97,3.88,6.31,8.31
WC,26-Jul-10,2010-07-26,3,6.66,5.72,6.17,6.14,1.01,0.07,11.19,0.78,5.76,5.43
WC,09-Aug-10,2010-08-09,1,10.05,6.3,7.6,6.62,3.55,-0.20,39.33,-2.22,12.19,1.33
WC,09-Aug-10,2010-08-09,2,10.4,6.7,7.6,6.64,3.90,0.20,43.21,2.22,12.19,1.55
WC,09-Aug-10,2010-08-09,3,10.17,7.14,7.8,6.5,3.67,0.64,40.66,7.09,14.40,0.00
WC,23-Aug-10,2010-08-23,1,9.16,7.89,8.6,6.94,2.00,0.73,24.00,8.76,17.28,-2.64
WC,23-Aug-10,2010-08-23,2,9.56,7.94,8.83,7.85,2.40,0.78,28.80,9.36,20.04,8.28
WC,23-Aug-10,2010-08-23,3,9.77,8.25,8.99,7.68,2.61,1.09,31.32,13.08,21.96,6.24
WC,02-May-11,2011-05-02,1,15.47,10.03,9.94,9.74,4.76,-0.68,55.96,-7.99,-9.05,-11.40
WC,02-May-11,2011-05-02,2,15.74,10.31,10.88,9.96,5.03,-0.40,59.14,-4.70,2.00,-8.82
WC,02-May-11,2011-05-02,3,14.34,9.38,10.38,9.67,3.63,-1.33,42.68,-15.64,-3.88,-12.23
WC,16-May-11,2011-05-16,1,10.73,9.46,9.47,9.27,1.95,0.68,23.40,8.16,8.28,5.88
WC,16-May-11,2011-05-16,2,10.94,9.4,9.5,9.24,2.16,0.62,25.92,7.44,8.64,5.52
WC,16-May-11,2011-05-16,3,10.7,9.36,9.38,9.37,1.92,0.58,23.04,6.96,7.20,7.08
WC,30-May-11,2011-05-30,1,11.86,8.81,9.09,8.67,3.60,0.55,40.66,6.21,9.38,4.63
WC,30-May-11,2011-05-30,2,11.93,8.75,9.06,8.68,3.67,0.49,41.46,5.53,9.04,4.74
WC,30-May-11,2011-05-30,3,12.22,8.85,8.99,8.74,3.96,0.59,44.73,6.66,8.25,5.42
WC,13-Jun-11,2011-06-13,1,8.92,6.95,7.11,7,2.10,0.13,24.20,1.50,3.34,2.07
WC,13-Jun-11,2011-06-13,2,8.9,6.92,7.21,7.08,2.08,0.10,23.97,1.15,4.49,3.00
WC,13-Jun-11,2011-06-13,3,8.81,6.93,7.24,7.06,1.99,0.11,22.93,1.27,4.84,2.77
WC,27-Jun-11,2011-06-27,1,7.15,6.57,6.71,6.67,0.92,0.34,11.52,4.26,6.01,5.51
WC,27-Jun-11,2011-06-27,2,7.22,6.71,6.74,6.58,0.99,0.48,12.40,6.01,6.39,4.38
WC,27-Jun-11,2011-06-27,3,7.4,6.46,6.65,6.6,1.17,0.23,14.65,2.88,5.26,4.63
WC,11-Jul-11,2011-07-11,1,9.68,7.03,7.6,7.06,2.41,-0.24,31.55,-3.14,4.32,-2.75
WC,11-Jul-11,2011-07-11,2,9.84,7.01,7.59,7.1,2.57,-0.26,33.65,-3.40,4.19,-2.23
WC,11-Jul-11,2011-07-11,3,9.96,6.84,7.48,7.04,2.69,-0.43,35.22,-5.63,2.75,-3.01
WC,25-Jul-11,2011-07-25,1,9.42,7.25,7.98,7.38,2.32,0.15,27.84,1.80,10.56,3.36
WC,25-Jul-11,2011-07-25,2,9.6,7.17,8.04,7.63,2.50,0.07,30.00,0.84,11.28,6.36
WC,25-Jul-11,2011-07-25,3,9.51,7.19,8.26,7.3,2.41,0.09,28.92,1.08,13.92,2.40
WC,08-Aug-11,2011-08-08,1,7.1,6,6.39,6.03,0.79,-0.31,9.10,-3.57,0.92,-3.23
WC,08-Aug-11,2011-08-08,2,6.99,5.89,6.36,6.3,0.68,-0.42,7.83,-4.84,0.58,-0.12
WC,08-Aug-11,2011-08-08,3,7.09,5.86,6.33,6.18,0.78,-0.45,8.99,-5.18,0.23,-1.50
WC,22-Aug-11,2011-08-22,1,10.22,6.01,7.22,6.6,3.71,-0.50,46.46,-6.26,8.89,1.13
WC,22-Aug-11,2011-08-22,2,9.62,6.75,7.32,6.63,3.11,0.24,38.95,3.01,10.14,1.50
WC,22-Aug-11,2011-08-22,3,9.73,6.49,7.54,6.78,3.22,-0.02,40.33,-0.25,12.90,3.38
WC,07-Sep-11,2011-09-07,1,13.42,7.46,9,7.56,5.17,-0.79,63.37,-9.68,9.19,-8.46
WC,07-Sep-11,2011-09-07,2,12.64,7.2,8.98,7.77,4.39,-1.05,53.81,-12.87,8.95,-5.88
WC,07-Sep-11,2011-09-07,3,13.8,7.51,9.03,7.61,5.55,-0.74,68.03,-9.07,9.56,-7.84
WC,20-Sep-11,2011-09-20,1,9.64,7.52,7.82,7.63,1.67,-0.45,24.05,-6.48,-2.16,-4.90
WC,20-Sep-11,2011-09-20,2,9.57,7.58,7.93,7.68,1.60,-0.39,23.04,-5.62,-0.58,-4.18
WC,20-Sep-11,2011-09-20,3,9.81,7.51,7.88,7.65,1.84,-0.46,26.50,-6.63,-1.30,-4.61
WC,01-May-12,2012-05-01,1,14.65,9.85,12.65,9.28,3.80,-1.00,46.58,-12.26,22.06,-19.24
WC,01-May-12,2012-05-01,2,16.25,9.68,12.04,9.33,5.40,-1.17,66.19,-14.34,14.59,-18.63
WC,01-May-12,2012-05-01,3,16.11,9.89,12.17,9.29,5.26,-0.96,64.47,-11.77,16.18,-19.12
WC,14-May-12,2012-05-14,1,,11.24,12.86,11.48,,-0.21,,-2.42,16.25,0.35
WC,14-May-12,2012-05-14,2,,10.98,12.86,11.3,,-0.47,,-5.42,16.25,-1.73
WC,14-May-12,2012-05-14,3,,12.05,12.51,11.56,,0.60,,6.91,12.21,1.27
WC,28-May-12,2012-05-28,1,10.28,8.93,9.09,8.92,1.72,0.37,20.64,4.44,6.36,4.32
WC,28-May-12,2012-05-28,2,10.26,8.94,9.16,8.94,1.70,0.38,20.40,4.56,7.20,4.56
WC,28-May-12,2012-05-28,3,10.33,9.04,9.19,9.05,1.77,0.48,21.24,5.76,7.56,5.88
WC,11-Jun-12,2012-06-11,1,7.54,7.1,7.35,7.35,-0.40,-0.84,-4.90,-10.30,-7.23,-7.23
WC,11-Jun-12,2012-06-11,2,7.51,7.22,7.38,7.41,-0.43,-0.72,-5.27,-8.83,-6.86,-6.50
WC,11-Jun-12,2012-06-11,3,7.49,7.17,7.28,7.32,-0.45,-0.77,-5.52,-9.44,-8.09,-7.60
WC,25-Jun-12,2012-06-25,1,9.51,7.81,8.13,7.86,1.86,0.16,21.87,1.88,5.64,2.47
WC,25-Jun-12,2012-06-25,2,9.99,7.73,8.21,7.84,2.34,0.08,27.51,0.94,6.58,2.23
WC,25-Jun-12,2012-06-25,3,10.28,7.83,8.23,7.91,2.63,0.18,30.92,2.12,6.82,3.06
WC,09-Jul-12,2012-07-09,1,14.55,10.14,12.47,10.19,7.76,3.35,97.18,41.95,71.13,42.58
WC,09-Jul-12,2012-07-09,2,15.22,9.47,12.54,10.24,8.43,2.68,105.57,33.56,72.01,43.21
WC,09-Jul-12,2012-07-09,3,14.48,9.26,12.53,10.33,7.69,2.47,96.31,30.93,71.89,44.33
WC,23-Jul-12,2012-07-23,1,7.75,6.73,7.2,6.83,1.30,0.28,15.60,3.36,9.00,4.56
WC,23-Jul-12,2012-07-23,2,7.97,6.71,7.22,6.82,1.52,0.26,18.24,3.12,9.24,4.44
WC,23-Jul-12,2012-07-23,3,7.95,6.67,7.13,6.81,1.50,0.22,18.00,2.64,8.16,4.32
WC,07-Aug-12,2012-08-07,1,10.59,8.5,9.31,8.65,1.07,-1.02,12.09,-11.52,-2.37,-9.83
WC,07-Aug-12,2012-08-07,2,10.4,8.52,9.17,8.41,0.88,-1.00,9.94,-11.30,-3.95,-12.54
WC,07-Aug-12,2012-08-07,3,10.11,8.15,9.5,8.76,0.59,-1.37,6.66,-15.48,-0.23,-8.58
WC,20-Aug-12,2012-08-20,1,8.99,7.43,7.65,7.44,0.49,-1.07,6.56,-14.34,-11.39,-14.20
WC,20-Aug-12,2012-08-20,2,9.13,7.42,7.87,7.59,0.63,-1.08,8.44,-14.47,-8.44,-12.19
WC,20-Aug-12,2012-08-20,3,9.94,7.55,7.62,7.43,1.44,-0.95,19.29,-12.73,-11.79,-14.34
WC,13-May-13,2013-05-13,1,12.37,7.15,7.33,8.28,4.51,-0.71,54.13,-8.52,-6.36,5.04
WC,13-May-13,2013-05-13,2,12.38,7.83,7.86,8.26,4.52,-0.03,54.25,-0.36,0.00,4.80
